NRO_VEC_COB;ESTADO_PDP;NRO_CUOTAS;MES;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;RESULTADOLLAMADA;DEUDA_TOTAL;ESTATUS;ACTIVACION;TIPOCONTACTO;MORA
>10;0;>48;Marzo;362.24;0.0;0.0;12/03/2014;14;PDP  Promesa De Pago;25077.1;BT;2012;CEF;1
>10;0;<24, 48];Marzo;176.25;183.26;0.0;4/03/2014;8;TELF. NO CORRESPONDE;2369.6;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;864.08;867.38;851.74;7/02/2014;10;PDP  Promesa De Pago;27592.3;BT;2013;CEF;1
<=10;0;<=24;Marzo;1931.9;975.43;929.09;11/03/2014;7;TAT  Tratamiento al Titu;9095.37;BT;2013;CEF;1
<=10;0;>48;Marzo;1768.56;1048.31;0.0;14/03/2014;11;TAT  Tratamiento al Titu;26740.2;BT;2012;CEF;0
<=10;0;<24, 48];Marzo;505.64;1508.11;0.0;24/03/2014;14;CIH  Generar Cita;20858.5;BT;2012;CNE;1
<=10;0;<=24;Febrero;303.26;334.11;334.11;12/02/2014;15;MCF  Msj Con Familiar;2546.17;BT;2013;CNE;0
>10;0;>48;Abril;59.57;0.0;0.0;15/04/2014;15;MCF  Msj Con Familiar;1590.15;BT;2010;CNE;1
<=10;0;<=24;Abril;785.17;0.0;745.17;9/04/2014;12;PDP  Promesa De Pago;10452.0;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;1262.26;0.0;0.0;11/03/2014;14;MCT  Msj Con Terceros;17398.1;BT;2013;CNE;1
>10;0;<24, 48];Abril;135.53;138.22;176.62;3/04/2014;11;PAR  Promesa Parcial;6553.9;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;330.71;665.04;0.0;18/02/2014;9;MCT  Msj Con Terceros;8385.45;BT;2013;CNE;1
<=10;1;<24, 48];Abril;392.56;394.24;384.96;10/04/2014;15;IPP  Inbound Promesa Par;9236.94;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;325.02;0.0;0.0;6/03/2014;11;PDP  Promesa De Pago;9230.59;BT;2013;CEF;1
>10;0;<24, 48];Febrero;240.39;237.47;0.0;27/02/2014;14;MCF  Msj Con Familiar;3342.32;BT;2012;CNE;1
>10;0;<=24;Marzo;306.33;0.0;148.38;20/03/2014;15;MCT  Msj Con Terceros;920.19;BT;2012;CNE;0
<=10;1;<24, 48];Febrero;1781.64;0.0;0.0;19/02/2014;10;MCT  Msj Con Terceros;17234.4;BT;2012;CNE;0
>10;0;<24, 48];Abril;219.38;213.95;211.32;14/04/2014;14;MCF  Msj Con Familiar;2929.66;BT;2012;CNE;1
>10;0;<24, 48];Abril;170.15;0.0;0.0;4/04/2014;8;PDP  Promesa De Pago;1497.52;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;414.74;254.31;403.78;6/02/2014;16;TELF. NO CORRESPONDE;10034.7;BT;2013;CNE;1
<=10;1;<24, 48];Febrero;446.91;895.46;0.0;19/02/2014;15;MCT  Msj Con Terceros;13573.0;BT;2013;CNE;1
>10;0;>48;Abril;1905.84;0.0;0.0;29/04/2014;9;TELF. NO CORRESPONDE;41451.1;BT;2012;CNE;1
<=10;0;>48;Marzo;1196.99;1196.55;7.05;4/03/2014;8;PDP  Promesa De Pago;27493.8;BT;2011;CEF;1
>10;0;<24, 48];Febrero;254.89;124.91;46.22;25/02/2014;18;MCT  Msj Con Terceros;2033.14;BT;2011;CNE;1
>10;0;<24, 48];Febrero;450.27;437.37;450.85;19/02/2014;12;MCO  Msj Con Conyuge;3026.6;BT;2011;CEF;1
>10;0;>48;Febrero;506.92;506.1;507.91;11/02/2014;11;TELF. NO CORRESPONDE;8753.22;BT;2011;CNE;1
<=10;0;<=24;Febrero;512.12;510.94;509.03;14/02/2014;16;MCT  Msj Con Terceros;3352.86;BT;2013;CNE;0
>10;0;<24, 48];Abril;410.2;167.14;579.99;15/04/2014;20;MCT  Msj Con Terceros;3262.59;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;351.59;704.17;0.0;10/02/2014;11;TAT  Tratamiento al Titu;7296.08;BT;2013;CEF;1
>10;0;<24, 48];Febrero;1650.64;0.0;0.0;6/02/2014;10;MCT  Msj Con Terceros;9615.35;BT;2010;CNE;0
>10;0;<24, 48];Abril;253.54;0.0;0.0;29/04/2014;11;MCT  Msj Con Terceros;4122.85;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;156.4;452.18;0.0;4/03/2014;9;MCF  Msj Con Familiar;5979.55;BT;2013;CNE;1
<=10;0;>48;Abril;768.28;0.0;1154.71;14/04/2014;8;TELF. NO CORRESPONDE;10540.3;BT;2013;CNE;1
