NRO_VEC_COB;ESTADO_PDP;NRO_CUOTAS;MES;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;RESULTADOLLAMADA;DEUDA_TOTAL;ESTATUS;ACTIVACION;TIPOCONTACTO;MORA
<=10;0;<24, 48];Marzo;416.18;414.79;0.0;12/03/2014;10;MCT  Msj Con Terceros;7949.27;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;573.11;0.0;0.0;4/03/2014;12;MCF  Msj Con Familiar;15525.0;BT;2012;CNE;1
<=10;0;>48;Abril;555.2;0.0;0.0;16/04/2014;9;PDP  Promesa De Pago;12894.9;BT;2013;CEF;1
>10;0;<24, 48];Febrero;442.67;216.72;439.09;25/02/2014;13;MCT  Msj Con Terceros;2914.68;BT;2012;CNE;0
<=10;0;<24, 48];Abril;411.54;463.11;594.71;4/04/2014;8;MCF  Msj Con Familiar;21509.3;BT;2014;CNE;1
<=10;0;<24, 48];Febrero;216.33;435.53;0.0;25/02/2014;17;MCF  Msj Con Familiar;3200.44;BT;2012;CNE;1
<=10;0;<24, 48];Abril;238.15;225.05;221.75;22/04/2014;8;MCF  Msj Con Familiar;4929.75;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;753.81;1512.15;0.0;31/03/2014;9;MCT  Msj Con Terceros;23106.0;BT;2014;CNE;1
<=10;0;<24, 48];Febrero;462.85;0.0;0.0;6/02/2014;9;TAT  Tratamiento al Titu;5403.23;BT;2013;CEF;0
<=10;0;>48;Marzo;1065.32;1605.76;0.0;11/03/2014;16;MCT  Msj Con Terceros;19218.9;BT;2013;CNE;1
<=10;0;<24, 48];Abril;1778.94;1778.94;0.0;9/04/2014;15;MCT  Msj Con Terceros;6453.07;BT;2011;CNE;0
>10;0;<24, 48];Febrero;234.07;233.85;234.14;28/02/2014;9;MCT  Msj Con Terceros;1288.02;BT;2011;CNE;1
>10;0;>48;Febrero;1653.31;0.0;324.09;5/02/2014;18;TAT sin contacto con Titular;55564.3;BT;2012;CNE;1
>10;0;<24, 48];Abril;1228.69;1228.69;3706.67;30/04/2014;16;TELF. NO CORRESPONDE;27248.4;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;75.34;0.0;0.0;13/02/2014;19;TAT  Tratamiento al Titu;3532.15;BT;2013;CEF;1
<=10;0;<=24;Febrero;327.58;0.0;1033.22;19/02/2014;9;TAT sin contacto con Titular;3725.39;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;1196.47;0.0;0.0;6/02/2014;13;TELF. NO CORRESPONDE;20870.4;BT;2013;CNE;0
>10;0;<24, 48];Febrero;96.4;0.0;349.34;7/02/2014;15;MCF  Msj Con Familiar;1207.25;BT;2011;CNE;1
<=10;0;<24, 48];Abril;21.86;0.0;0.0;8/04/2014;9;PAR  Promesa Parcial;2605.05;BT;2011;CEF;1
>10;0;>48;Febrero;1118.46;1417.52;986.36;6/02/2014;16;PDP  Promesa De Pago;39605.5;BT;2011;CEF;1
<=10;0;<24, 48];Abril;322.41;321.37;0.0;28/04/2014;15;MCF  Msj Con Familiar;6702.06;BT;2013;CNE;1
>10;0;<24, 48];Abril;250.83;0.0;510.0;9/04/2014;8;MCC  Msj Con Comp De Trab;3088.8;BT;2012;CNE;0
<=10;0;<=24;Marzo;1897.14;2619.93;0.0;5/03/2014;16;MCF  Msj Con Familiar;12836.3;BT;2013;CNE;0
>10;0;<24, 48];Marzo;373.98;373.98;0.0;27/03/2014;8;MCT  Msj Con Terceros;8547.27;BT;2011;CNE;1
>10;0;>48;Abril;1159.53;1160.24;1152.87;7/04/2014;11;TELF. NO CORRESPONDE;19586.5;BT;2011;CNE;1
<=10;0;>48;Marzo;3098.72;2262.25;2620.41;7/03/2014;16;MCT  Msj Con Terceros;38345.3;BT;2012;CNE;0
<=10;0;>48;Febrero;1671.03;2346.76;4034.42;26/02/2014;15;PDP  Promesa De Pago;69116.9;BT;2013;CEF;1
>10;0;<24, 48];Abril;66.07;0.0;0.0;24/04/2014;10;PDP  Promesa De Pago;985.56;BT;2010;CEF;1
<=10;0;<=24;Abril;1148.6;0.0;0.0;22/04/2014;9;PDP  Promesa De Pago;13934.9;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;138.48;0.0;0.0;4/03/2014;15;MCT  Msj Con Terceros;31498.5;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;1055.39;1055.39;0.0;20/03/2014;10;MCT  Msj Con Terceros;8212.08;BT;2013;CNE;0
<=10;0;<24, 48];Abril;350.95;350.87;1060.66;4/04/2014;8;TELF. NO CORRESPONDE;3843.65;BT;2012;CNE;1
>10;0;<24, 48];Marzo;210.65;0.0;0.0;7/03/2014;9;MCT  Msj Con Terceros;1354.94;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;122.88;346.29;571.11;20/02/2014;7;TELF. NO CORRESPONDE;4492.9;BT;2013;CNE;1
<=10;0;<24, 48];Abril;212.62;213.33;213.5;10/04/2014;16;CIH  Generar Cita;3155.15;BT;2012;CNE;1
<=10;0;<=24;Febrero;1943.65;0.0;0.0;19/02/2014;19;MCT  Msj Con Terceros;6701.29;BT;2013;CNE;0
>10;0;<24, 48];Marzo;252.02;506.23;0.0;13/03/2014;10;TELF. NO CORRESPONDE;10107.1;BT;2012;CNE;1
<=10;0;<24, 48];Marzo;3313.15;0.0;0.0;19/03/2014;20;TELF. NO CORRESPONDE;24129.3;BT;2012;CNE;0
>10;0;<24, 48];Marzo;896.09;895.25;0.0;26/03/2014;14;MCF  Msj Con Familiar;3932.1;BT;2011;CNE;0
<=10;0;<24, 48];Marzo;616.29;616.74;0.0;6/03/2014;8;PDP  Promesa De Pago;19881.2;BT;2013;CEF;1
>10;0;>48;Febrero;551.2;872.91;0.0;18/02/2014;14;TAT  Tratamiento al Titu;37990.2;BT;2011;CEF;1
>10;0;<24, 48];Abril;219.11;0.0;0.0;3/04/2014;16;MCF  Msj Con Familiar;836.8;BT;2011;CNE;1
<=10;0;<24, 48];Marzo;1120.09;1221.5;1217.07;6/03/2014;18;MCF  Msj Con Familiar;4151.33;BT;2011;CNE;0
>10;0;>48;Febrero;460.02;0.0;0.0;12/02/2014;10;MCT  Msj Con Terceros;15000.3;BT;2012;CNE;1
>10;0;<24, 48];Marzo;149.62;62.51;0.0;13/03/2014;17;MCO  Msj Con Conyuge;2720.32;BT;2013;CEF;1
<=10;1;<24, 48];Marzo;918.62;1534.57;0.0;5/03/2014;8;TAT  Tratamiento al Titu;18168.5;BT;2013;CEF;0
<=10;0;>48;Abril;284.8;0.0;0.0;25/04/2014;13;MCT  Msj Con Terceros;7351.92;BT;2014;CNE;1
<=10;0;>48;Marzo;342.78;345.47;0.0;11/03/2014;8;PDP  Promesa De Pago;7028.64;BT;2011;CEF;1
<=10;0;>48;Febrero;268.96;216.61;270.33;7/02/2014;20;MCF  Msj Con Familiar;4631.39;BT;2011;CNE;1
<=10;0;<24, 48];Marzo;25.06;0.0;0.0;4/03/2014;8;MCC  Msj Con Comp De Trab;4952.82;BT;2013;CNE;1
<=10;1;<24, 48];Febrero;847.28;1699.43;2561.64;13/02/2014;15;TAT  Tratamiento al Titu;16486.4;BT;2012;CEF;1
<=10;0;<=24;Febrero;1152.11;153.95;1029.08;25/02/2014;15;MCF  Msj Con Familiar;20908.8;BT;2013;CNE;1
<=10;0;>48;Febrero;81.2;0.0;0.0;12/02/2014;8;MCT  Msj Con Terceros;4144.33;BT;2013;CNE;1
<=10;1;<24, 48];Abril;718.26;478.44;0.0;9/04/2014;10;TELF. NO CORRESPONDE;7353.83;BT;2013;CNE;0
<=10;0;<24, 48];Abril;813.92;0.0;0.0;15/04/2014;17;MCF  Msj Con Familiar;5842.68;BT;2013;CNE;0
>10;0;>48;Marzo;1075.26;1076.62;0.0;28/03/2014;16;TELF. NO CORRESPONDE;1065.1;BT;2010;CNE;0
<=10;0;>48;Marzo;715.1;1433.02;0.0;26/03/2014;9;MCT  Msj Con Terceros;21468.3;BT;2013;CNE;1
>10;0;<24, 48];Marzo;593.68;602.22;599.28;6/03/2014;8;PDP  Promesa De Pago;7249.98;BT;2012;CEF;1
<=10;0;<24, 48];Abril;998.99;0.0;0.0;7/04/2014;14;TELF. NO CORRESPONDE;5345.46;BT;2012;CNE;0
<=10;0;>48;Abril;799.9;798.4;0.0;15/04/2014;9;TAT  Tratamiento al Titu;22515.8;BT;2013;CEF;1
>10;0;>48;Abril;1126.37;0.0;0.0;7/04/2014;20;TELF. NO CORRESPONDE;5754.87;BT;2011;CNE;0
>10;0;<24, 48];Abril;324.89;324.87;324.86;14/04/2014;14;MCF  Msj Con Familiar;9323.54;BT;2013;CNE;1
<=10;0;<=24;Abril;255.06;0.0;111.08;11/04/2014;9;PDP  Promesa De Pago;1844.38;BT;2013;CEF;1
<=10;0;>48;Febrero;95.85;0.0;154.91;3/02/2014;15;MCT  Msj Con Terceros;6187.65;BT;2011;CNE;1
<=10;1;>48;Marzo;21.07;571.68;0.0;12/03/2014;17;TELF. NO CORRESPONDE;12457.0;BT;2012;CNE;1
>10;0;<24, 48];Abril;190.73;0.0;0.0;15/04/2014;16;MCT  Msj Con Terceros;3140.82;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;513.42;1027.45;518.52;27/02/2014;8;PDP  Promesa De Pago;10517.7;BT;2013;CEF;1
>10;0;<24, 48];Febrero;248.01;0.0;0.0;4/02/2014;19;MCT  Msj Con Terceros;1233.45;BT;2011;CNE;1
<=10;0;<24, 48];Abril;746.66;0.0;2249.7;10/04/2014;8;MCT  Msj Con Terceros;19949.0;BT;2014;CNE;1
<=10;0;>48;Marzo;992.19;0.0;0.0;28/03/2014;8;TELF. NO CORRESPONDE;31939.8;BT;2013;CNE;1
<=10;0;<24, 48];Abril;96.76;0.0;0.0;11/04/2014;15;TELF. NO CORRESPONDE;12072.3;BT;2013;CNE;1
<=10;0;<=24;Marzo;681.72;914.09;0.0;27/03/2014;13;MCF  Msj Con Familiar;1914.19;BT;2013;CNE;0
>10;0;<24, 48];Febrero;134.51;1.05;235.94;4/02/2014;11;PDP  Promesa De Pago;1992.84;BT;2011;CEF;1
<=10;0;>48;Febrero;422.65;0.0;0.0;5/02/2014;8;PDP  Promesa De Pago;9088.4;BT;2012;CEF;1
>10;0;<24, 48];Abril;350.15;0.0;0.0;24/04/2014;8;TELF. NO CORRESPONDE;2533.76;BT;2011;CNE;1
<=10;0;<24, 48];Marzo;4419.14;5909.18;0.0;10/03/2014;7;MCO  Msj Con Conyuge;44880.3;BT;2013;CEF;0
>10;0;<24, 48];Abril;269.47;0.0;0.0;4/04/2014;14;MCF  Msj Con Familiar;3109.5;BT;2012;CNE;1
>10;0;>48;Marzo;265.34;0.0;0.0;13/03/2014;14;PDP  Promesa De Pago;4054.23;BT;2011;CEF;1
>10;0;<24, 48];Marzo;221.54;648.21;0.0;6/03/2014;10;MCF  Msj Con Familiar;8836.98;BT;2012;CNE;1
<=10;0;>48;Febrero;30.34;0.0;0.0;7/02/2014;10;MCF  Msj Con Familiar;6883.6;BT;2012;CNE;1
>10;0;<24, 48];Abril;132.47;132.43;132.65;14/04/2014;20;MCT  Msj Con Terceros;789.01;BT;2011;CNE;1
<=10;0;>48;Marzo;1984.66;1911.52;1993.75;7/03/2014;8;MCT  Msj Con Terceros;70131.2;BT;2012;CNE;1
<=10;0;<24, 48];Abril;825.66;0.0;0.0;4/04/2014;10;TELF. NO CORRESPONDE;24447.8;BT;2013;CNE;1
>10;0;>48;Marzo;234.17;245.44;0.0;6/03/2014;14;MCT  Msj Con Terceros;4239.12;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;554.13;553.93;557.33;18/02/2014;13;TELF. NO CORRESPONDE;15171.3;BT;2012;CNE;1
<=10;0;>48;Marzo;3057.07;2.55;37.06;12/03/2014;9;MCT  Msj Con Terceros;57101.8;BT;2013;CNE;0
>10;0;>48;Marzo;1230.09;1851.57;0.0;17/03/2014;8;MCT  Msj Con Terceros;14861.6;BT;2012;CNE;0
<=10;0;<24, 48];Abril;327.09;655.02;985.17;8/04/2014;11;MCT  Msj Con Terceros;5676.54;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;328.3;0.0;0.0;5/03/2014;8;PDP  Promesa De Pago;18350.9;BT;2013;CEF;1
<=10;0;<24, 48];Abril;558.08;555.55;555.82;8/04/2014;18;TELF. NO CORRESPONDE;12057.8;BT;2013;CNE;1
<=10;0;<24, 48];Abril;115.18;0.0;0.0;21/04/2014;14;MCT  Msj Con Terceros;17066.0;BT;2013;CNE;1
<=10;0;>48;Marzo;821.9;1414.33;0.0;3/03/2014;10;TELF. NO CORRESPONDE;14524.9;BT;2012;CNE;0
>10;0;<24, 48];Febrero;458.2;688.31;688.31;4/02/2014;18;PDP  Promesa De Pago;2615.13;BT;2011;CEF;0
<=10;0;<24, 48];Marzo;481.12;675.99;0.0;31/03/2014;19;PAR  Promesa Parcial;3541.62;BT;2013;CEF;0
<=10;0;<=24;Marzo;547.47;873.3;1201.83;6/03/2014;16;PAR  Promesa Parcial;4409.22;BT;2013;CEF;0
<=10;0;>48;Febrero;1194.48;1200.42;1197.94;10/02/2014;12;MCT  Msj Con Terceros;36469.5;BT;2013;CNE;1
>10;0;<24, 48];Febrero;224.48;224.59;224.85;10/02/2014;7;PDP  Promesa De Pago;1848.48;BT;2011;CEF;1
>10;0;<24, 48];Abril;665.88;685.48;0.0;9/04/2014;15;MCT  Msj Con Terceros;15668.6;BT;2012;CNE;1
<=10;0;<=24;Marzo;818.37;0.0;0.0;12/03/2014;20;TELF. NO CORRESPONDE;2487.57;BT;2013;CNE;0
>10;0;<24, 48];Febrero;544.12;0.0;0.0;3/02/2014;9;MCT  Msj Con Terceros;6054.33;BT;2011;CNE;1
<=10;0;>48;Febrero;588.75;0.0;0.0;3/02/2014;8;PDP  Promesa De Pago;21027.4;BT;2012;CEF;1
<=10;0;<24, 48];Abril;731.24;0.0;723.72;29/04/2014;8;MCT  Msj Con Terceros;10977.0;BT;2011;CNE;1
>10;0;<24, 48];Marzo;21.88;0.0;0.0;5/03/2014;7;MCT  Msj Con Terceros;8267.73;BT;2012;CNE;1
>10;0;<24, 48];Abril;403.19;0.0;0.0;3/04/2014;11;PDP  Promesa De Pago;7264.26;BT;2011;CEF;1
<=10;0;<=24;Febrero;36.98;37.99;9.02;6/02/2014;9;MCT  Msj Con Terceros;2754.32;BT;2013;CNE;1
<=10;0;>48;Febrero;118.71;191.3;0.0;12/02/2014;7;PDP  Promesa De Pago;7580.84;BT;2013;CEF;1
<=10;0;>48;Marzo;944.68;1480.57;0.0;24/03/2014;14;TELF. NO CORRESPONDE;16692.2;BT;2013;CNE;0
<=10;0;<24, 48];Marzo;588.15;1177.11;578.59;31/03/2014;13;MCF  Msj Con Familiar;13309.5;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;1096.16;655.7;1762.02;24/02/2014;11;TAT  Tratamiento al Titu;32626.1;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;204.23;204.23;618.59;26/03/2014;12;TELF. NO CORRESPONDE;4838.95;BT;2013;CNE;1
<=10;0;<=24;Abril;980.37;1477.9;0.0;30/04/2014;8;TELF. NO CORRESPONDE;6669.99;BT;2013;CNE;0
>10;0;<24, 48];Febrero;296.64;0.0;0.0;13/02/2014;9;MCF  Msj Con Familiar;4647.71;BT;2012;CNE;1
<=10;0;<24, 48];Marzo;80.27;257.23;0.0;18/03/2014;13;MCF  Msj Con Familiar;8451.97;BT;2013;CNE;0
<=10;0;>48;Marzo;296.53;0.0;0.0;7/03/2014;9;MCO  Msj Con Conyuge;14537.8;BT;2013;CEF;1
<=10;0;<=24;Febrero;286.93;0.0;0.0;19/02/2014;10;MCT  Msj Con Terceros;2501.66;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;1897.41;0.0;0.0;13/02/2014;19;MCF  Msj Con Familiar;17560.7;BT;2012;CNE;0
<=10;0;>48;Abril;349.53;349.53;0.0;16/04/2014;7;MCT  Msj Con Terceros;7854.68;BT;2012;CNE;1
<=10;0;<24, 48];Marzo;396.88;0.0;0.0;5/03/2014;7;PDP  Promesa De Pago;11533.1;BT;2013;CEF;1
>10;0;>48;Febrero;159.85;0.0;0.0;6/02/2014;17;MCF  Msj Con Familiar;16025.2;BT;2012;CNE;1
<=10;0;<=24;Marzo;190.16;175.79;144.57;28/03/2014;13;TELF. NO CORRESPONDE;1922.51;BT;2013;CNE;1
<=10;0;<24, 48];Marzo;377.39;0.0;451.54;20/03/2014;12;PDP  Promesa De Pago;8373.12;BT;2012;CEF;1
<=10;0;<=24;Abril;148.07;0.0;0.0;1/04/2014;16;MCF  Msj Con Familiar;1635.3;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;472.33;0.0;0.0;26/02/2014;16;TELF. NO CORRESPONDE;10043.0;BT;2012;CNE;1
<=10;0;<=24;Marzo;611.08;818.53;0.0;27/03/2014;11;TAT  Tratamiento al Titu;1045.13;BT;2012;CEF;0
<=10;0;>48;Marzo;692.48;0.0;0.0;4/03/2014;11;MCO  Msj Con Conyuge;26100.3;BT;2013;CEF;1
<=10;0;<24, 48];Marzo;507.13;507.13;506.44;31/03/2014;12;TELF. NO CORRESPONDE;13608.2;BT;2013;CNE;1
>10;0;<24, 48];Febrero;455.44;0.0;463.79;14/02/2014;11;MCT  Msj Con Terceros;2385.11;BT;2010;CNE;1
>10;0;<24, 48];Abril;153.89;0.0;0.0;3/04/2014;14;MCT  Msj Con Terceros;1646.97;BT;2012;CNE;1
<=10;0;>48;Abril;417.71;0.0;0.0;14/04/2014;13;MCT  Msj Con Terceros;11337.4;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;956.24;1057.15;925.98;11/02/2014;7;PDP  Promesa De Pago;29963.6;BT;2013;CEF;1
>10;0;<24, 48];Abril;28.45;0.0;0.0;7/04/2014;11;MCO  Msj Con Conyuge;900.07;BT;2012;CEF;1
>10;0;<24, 48];Abril;386.87;0.0;0.0;1/04/2014;17;TELF. NO CORRESPONDE;7991.33;BT;2012;CNE;1
>10;0;<24, 48];Febrero;415.8;0.0;0.0;3/02/2014;14;PDP  Promesa De Pago;1983.29;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;249.19;528.92;808.65;6/02/2014;13;MCF  Msj Con Familiar;4050.63;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;838.15;414.26;833.86;25/02/2014;12;MCF  Msj Con Familiar;9279.25;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;652.91;0.0;0.0;17/02/2014;14;MCT  Msj Con Terceros;19613.4;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;796.34;760.68;798.64;20/02/2014;10;PDP  Promesa De Pago;23075.4;BT;2013;CEF;1
<=10;0;<24, 48];Abril;522.11;785.54;0.0;30/04/2014;18;TELF. NO CORRESPONDE;5659.45;BT;2014;CNE;0
<=10;0;<24, 48];Febrero;278.23;0.0;0.0;6/02/2014;20;PDP  Promesa De Pago;4935.52;BT;2013;CEF;1
>10;0;<24, 48];Febrero;853.81;0.0;0.0;13/02/2014;12;MCF  Msj Con Familiar;6920.92;BT;2011;CNE;0
<=10;0;<24, 48];Abril;808.62;811.56;1624.08;8/04/2014;10;MCT  Msj Con Terceros;17221.8;BT;2013;CNE;1
<=10;0;>48;Abril;741.82;0.0;0.0;3/04/2014;9;IPT  Inbound PDP Total;25920.2;BT;2013;CEF;1
<=10;0;<=24;Abril;1054.3;1057.64;0.0;23/04/2014;16;TELF. NO CORRESPONDE;1038.69;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;4876.55;0.0;0.0;18/02/2014;14;MCT  Msj Con Terceros;44653.9;BT;2013;CNE;0
<=10;0;<24, 48];Abril;36.21;0.0;0.0;14/04/2014;17;MCV  Msj Con Vecino;12103.8;BT;2012;CNE;1
<=10;0;<24, 48];Marzo;1678.13;1678.13;0.0;25/03/2014;16;MCF  Msj Con Familiar;14309.0;BT;2013;CNE;0
<=10;0;>48;Febrero;484.85;486.41;990.27;4/02/2014;15;MCF  Msj Con Familiar;9823.14;BT;2012;CNE;1
<=10;0;<24, 48];Marzo;1242.92;1242.92;0.0;11/03/2014;12;TELF. NO CORRESPONDE;21628.8;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;612.71;305.21;766.0;24/02/2014;7;TAT sin contacto con Titular;1290.15;BT;2011;CNE;0
<=10;0;<24, 48];Abril;396.59;647.06;647.06;2/04/2014;20;PAR  Promesa Parcial;5234.3;BT;2013;CEF;0
<=10;0;<24, 48];Marzo;673.06;232.86;673.94;4/03/2014;9;PDP  Promesa De Pago;18777.0;BT;2013;CEF;1
<=10;0;<24, 48];Abril;378.6;758.11;1139.28;24/04/2014;10;MCF  Msj Con Familiar;8530.38;BT;2013;CNE;1
>10;0;>48;Abril;148.92;102.82;138.02;10/04/2014;13;MCF  Msj Con Familiar;8655.58;BT;2012;CNE;1
>10;0;<24, 48];Abril;106.48;287.2;0.0;14/04/2014;19;MCT  Msj Con Terceros;2957.77;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;1094.54;0.0;0.0;21/02/2014;18;MCT  Msj Con Terceros;8903.82;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;133.34;0.0;0.0;7/02/2014;9;MCT  Msj Con Terceros;8596.44;BT;2013;CNE;1
<=10;0;>48;Abril;683.42;0.0;0.0;8/04/2014;11;PDP  Promesa De Pago;16658.1;BT;2012;CEF;1
<=10;0;>48;Febrero;824.49;0.0;0.0;13/02/2014;13;TELF. NO CORRESPONDE;9994.25;BT;2013;CNE;0
>10;0;<24, 48];Marzo;1049.49;0.0;0.0;5/03/2014;17;MCT  Msj Con Terceros;1915.17;BT;2011;CNE;0
>10;0;<24, 48];Abril;289.46;0.0;871.17;10/04/2014;12;MCT  Msj Con Terceros;1654.88;BT;2011;CNE;1
>10;0;>48;Abril;563.66;0.0;562.17;4/04/2014;8;MCF  Msj Con Familiar;12222.2;BT;2012;CNE;1
<=10;0;<24, 48];Abril;588.01;588.01;1181.64;16/04/2014;12;TELF. NO CORRESPONDE;8032.31;BT;2012;CNE;1
>10;0;<24, 48];Marzo;1093.86;1093.86;0.0;21/03/2014;12;TAT  Tratamiento al Titu;4382.52;BT;2012;CEF;0
<=10;0;<24, 48];Marzo;179.55;180.43;179.71;13/03/2014;15;PDP  Promesa De Pago;3114.22;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;587.06;353.83;184.15;14/02/2014;10;MCT  Msj Con Terceros;15106.8;BT;2012;CNE;1
<=10;0;>48;Marzo;217.82;327.94;0.0;12/03/2014;12;MCT  Msj Con Terceros;3191.03;BT;2013;CNE;0
<=10;0;<=24;Abril;244.73;0.0;0.0;11/04/2014;10;PDP  Promesa De Pago;2960.5;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;838.15;414.26;833.86;26/02/2014;20;MCF  Msj Con Familiar;9279.25;BT;2013;CNE;0
>10;0;<24, 48];Marzo;291.2;582.86;0.0;17/03/2014;11;MCT  Msj Con Terceros;5445.02;BT;2012;CNE;1
<=10;0;<24, 48];Abril;907.74;1216.17;0.0;10/04/2014;19;MCT  Msj Con Terceros;4415.53;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;537.73;808.2;1081.01;19/02/2014;16;TELF. NO CORRESPONDE;4903.1;BT;2013;CNE;0
<=10;0;>48;Abril;1317.62;0.0;0.0;15/04/2014;10;MCT  Msj Con Terceros;19894.9;BT;2013;CNE;0
<=10;0;>48;Febrero;586.5;0.09;0.67;5/02/2014;12;PDP  Promesa De Pago;17323.5;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;21.66;0.0;795.75;19/02/2014;10;MCT  Msj Con Terceros;15737.0;BT;2013;CNE;1
<=10;0;<=24;Febrero;635.78;637.46;0.0;19/02/2014;18;TELF. NO CORRESPONDE;635.11;BT;2013;CNE;0
<=10;0;<=24;Febrero;147.72;0.0;151.83;3/02/2014;14;MCF  Msj Con Familiar;2147.93;BT;2013;CNE;1
<=10;0;>48;Abril;130.29;0.0;0.0;3/04/2014;12;MCF  Msj Con Familiar;2950.31;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;722.35;670.13;298.74;20/02/2014;16;PDP  Promesa De Pago;21419.1;BT;2013;CEF;1
